total_loss,policy_loss,value_loss,l2_loss
4.133,3.626,0.473,0.033
3.977,3.593,0.351,0.033
3.917,3.56,0.322,0.035
3.89,3.515,0.337,0.038
3.889,3.499,0.349,0.041
3.894,3.495,0.355,0.044
3.882,3.465,0.369,0.047
3.857,3.436,0.37,0.05
3.822,3.39,0.379,0.053
3.811,3.355,0.401,0.056
3.786,3.32,0.407,0.058
3.772,3.308,0.403,0.061
3.75,3.289,0.397,0.063
3.741,3.278,0.397,0.066
3.761,3.27,0.423,0.068
3.734,3.263,0.401,0.07
3.742,3.263,0.407,0.072
3.732,3.259,0.399,0.074
3.71,3.243,0.39,0.076
3.71,3.223,0.408,0.078
3.691,3.19,0.421,0.08
3.662,3.148,0.432,0.082
3.637,3.114,0.439,0.084
3.622,3.087,0.449,0.086
3.619,3.087,0.444,0.087
3.615,3.099,0.427,0.089
3.598,3.1,0.408,0.09
3.544,3.056,0.397,0.091
3.494,2.976,0.426,0.092
3.402,2.888,0.421,0.094
3.39,2.879,0.417,0.095
3.396,2.892,0.408,0.096
3.428,2.922,0.409,0.097
3.422,2.902,0.421,0.098
3.467,2.934,0.434,0.099
3.536,2.994,0.441,0.101
3.569,3.047,0.42,0.102
3.553,3.049,0.402,0.103
3.492,2.99,0.398,0.104
3.458,2.941,0.412,0.105
3.434,2.891,0.437,0.106
3.34,2.816,0.417,0.107
3.332,2.801,0.423,0.108
3.348,2.821,0.418,0.109
3.406,2.856,0.439,0.11
3.395,2.83,0.454,0.112
3.365,2.789,0.463,0.112
3.306,2.725,0.467,0.113
3.312,2.731,0.467,0.114
3.383,2.801,0.467,0.115
3.457,2.884,0.457,0.116
3.494,2.91,0.468,0.117
3.473,2.889,0.467,0.117
3.476,2.897,0.461,0.118
3.504,2.917,0.468,0.119
3.475,2.9,0.454,0.12
3.467,2.894,0.452,0.121
3.44,2.86,0.458,0.122
3.418,2.843,0.452,0.123
3.329,2.771,0.434,0.124
3.31,2.742,0.444,0.124
3.292,2.712,0.454,0.125
3.292,2.705,0.462,0.126
3.35,2.738,0.485,0.127
3.364,2.772,0.464,0.127
3.371,2.8,0.443,0.128
3.311,2.759,0.424,0.128
3.288,2.723,0.436,0.128
3.249,2.685,0.436,0.128
3.279,2.683,0.468,0.128
3.296,2.686,0.482,0.128
3.287,2.697,0.462,0.128
3.263,2.691,0.443,0.129
3.213,2.678,0.406,0.128
3.183,2.662,0.394,0.128
3.162,2.641,0.393,0.128
3.174,2.618,0.428,0.128
3.119,2.555,0.435,0.128
3.145,2.59,0.427,0.128
3.176,2.633,0.415,0.129
3.187,2.654,0.404,0.129
3.185,2.623,0.432,0.129
3.188,2.609,0.45,0.129
3.252,2.649,0.475,0.128
3.319,2.694,0.497,0.128
3.343,2.744,0.471,0.128
3.327,2.74,0.458,0.128
3.338,2.748,0.461,0.129
3.316,2.727,0.459,0.13
3.305,2.712,0.462,0.131
3.314,2.736,0.447,0.131
3.348,2.772,0.443,0.132
3.34,2.769,0.438,0.133
3.247,2.679,0.435,0.133
3.203,2.648,0.422,0.133
3.168,2.627,0.408,0.133
3.171,2.622,0.416,0.132
3.233,2.653,0.448,0.132
3.229,2.664,0.432,0.133
3.201,2.646,0.422,0.133
3.12,2.573,0.414,0.133
3.079,2.559,0.386,0.133
3.033,2.509,0.392,0.133
3.029,2.488,0.409,0.132
2.989,2.459,0.399,0.132
2.991,2.449,0.411,0.131
3.008,2.461,0.416,0.13
3.055,2.493,0.432,0.13
3.067,2.5,0.437,0.13
3.058,2.478,0.45,0.13
3.064,2.485,0.448,0.131
3.06,2.49,0.438,0.131
3.067,2.505,0.431,0.131
3.079,2.523,0.425,0.131
3.1,2.539,0.43,0.131
3.182,2.607,0.443,0.131
3.188,2.6,0.456,0.132
3.195,2.612,0.451,0.132
3.151,2.565,0.453,0.133
3.16,2.574,0.453,0.133
3.138,2.565,0.439,0.134
3.111,2.536,0.441,0.134
3.141,2.533,0.473,0.134
3.148,2.55,0.464,0.134
3.168,2.59,0.444,0.134
3.172,2.608,0.431,0.134
3.179,2.613,0.432,0.134
3.212,2.621,0.456,0.135
3.209,2.609,0.464,0.135
3.214,2.616,0.462,0.136
3.229,2.63,0.463,0.136
3.213,2.613,0.463,0.136
3.166,2.569,0.46,0.137
3.109,2.541,0.432,0.137
3.068,2.507,0.423,0.137
3.05,2.5,0.413,0.137
3.072,2.496,0.44,0.137
3.039,2.473,0.429,0.137
3.09,2.517,0.436,0.137
3.067,2.504,0.427,0.137
3.097,2.499,0.461,0.137
3.088,2.495,0.457,0.136
3.114,2.524,0.453,0.136
3.124,2.564,0.423,0.136
3.151,2.571,0.444,0.136
3.166,2.601,0.43,0.136
3.147,2.588,0.424,0.136
3.178,2.602,0.439,0.136
3.186,2.616,0.434,0.136
3.156,2.611,0.408,0.136
3.112,2.586,0.389,0.137
3.071,2.527,0.408,0.136
3.094,2.529,0.429,0.136
3.101,2.538,0.427,0.136
3.058,2.523,0.399,0.136
3.043,2.516,0.391,0.136
3.024,2.499,0.389,0.135
3.074,2.523,0.416,0.135
3.068,2.518,0.416,0.135
3.048,2.502,0.411,0.135
3.055,2.516,0.404,0.135
3.096,2.541,0.421,0.135
3.072,2.537,0.401,0.135
3.065,2.523,0.407,0.135
3.025,2.497,0.393,0.135
3.023,2.476,0.413,0.134
3.097,2.515,0.448,0.134
3.052,2.492,0.426,0.135
3.098,2.535,0.429,0.135
3.043,2.507,0.401,0.135
3.086,2.535,0.417,0.134
3.124,2.556,0.434,0.134
3.156,2.578,0.444,0.134
3.168,2.586,0.448,0.135
3.24,2.649,0.456,0.135
3.241,2.664,0.442,0.135
3.195,2.637,0.422,0.136
3.1,2.545,0.419,0.136
3.082,2.534,0.412,0.136
3.084,2.53,0.418,0.135
3.069,2.543,0.391,0.135
3.019,2.49,0.394,0.135
3.03,2.495,0.401,0.135
3.034,2.481,0.419,0.134
3.039,2.485,0.421,0.134
3.03,2.473,0.423,0.134
3.033,2.493,0.407,0.134
3.046,2.488,0.424,0.134
3.027,2.462,0.431,0.134
3.026,2.454,0.438,0.134
3.078,2.512,0.433,0.134
3.177,2.58,0.464,0.134
3.223,2.616,0.473,0.134
3.214,2.606,0.473,0.134
3.208,2.596,0.478,0.134
3.166,2.575,0.457,0.134
3.117,2.54,0.443,0.133
3.101,2.524,0.445,0.133
3.129,2.548,0.448,0.133
3.157,2.566,0.457,0.133
3.169,2.58,0.456,0.133
3.201,2.624,0.443,0.134
3.204,2.652,0.418,0.134
3.209,2.664,0.411,0.135
3.122,2.595,0.393,0.135
3.011,2.503,0.374,0.135
3.045,2.527,0.383,0.134
3.072,2.552,0.386,0.134
3.095,2.559,0.402,0.134
2.985,2.466,0.385,0.134
2.92,2.411,0.375,0.134
2.887,2.388,0.366,0.133
2.912,2.401,0.378,0.133
2.971,2.448,0.391,0.132
3.015,2.492,0.391,0.132
3.007,2.479,0.395,0.132
3.004,2.463,0.409,0.132
2.99,2.432,0.426,0.132
3.021,2.461,0.427,0.132
3.062,2.494,0.435,0.132
3.088,2.531,0.424,0.132
3.103,2.555,0.415,0.133
3.086,2.539,0.415,0.133
3.029,2.502,0.394,0.133
2.982,2.47,0.379,0.133
2.943,2.43,0.381,0.133
2.971,2.439,0.4,0.132
3.062,2.496,0.434,0.132
3.136,2.559,0.444,0.133
