elapsed_s,episode,epsilon,steps,buffer_len,avg_td_loss
600,5323,0.9208282832536433,58344,58407,3374764.5586919026
1200,10296,0.8416587168193526,113179,100000,560074389255.765
1800,15231,0.7624898380256362,167773,100000,250333147911041.16
2400,20095,0.6833281716406345,221885,100000,3151532948155454.5
3000,24468,0.6041630437423786,271746,100000,1.4190514042630806e+16
3604,29022,0.5244599971688456,324487,100000,6.491158795818073e+16
4200,33359,0.4458308427085479,375571,100000,2.6489601638256352e+17
4800,37556,0.3666532569676638,425551,100000,6.949742378230409e+17
5400,41630,0.28749596025711965,474809,100000,1.2584751941861256e+18
6000,45667,0.20833214547899037,524298,100000,2.0611473636492657e+18
6600,49547,0.12916206571294198,572609,100000,3.052107322337011e+18
7200,53228,0.05,619281,100000,3.5076500398435144e+18
7800,56635,0.05,662886,100000,2.5699851591086807e+18
8400,59989,0.05,705886,100000,1.7510283009548867e+18
9000,63273,0.05,747967,100000,2.167565311517712e+18
9600,66704,0.05,791917,100000,2.717545614389701e+18
10200,70098,0.05,835418,100000,2.28226349568777e+18
10803,73566,0.05,879802,100000,1.8224394370178852e+18
11400,76939,0.05,922869,100000,1.8407447056298063e+18
12000,80309,0.05,965981,100000,2.1806925158775396e+18
12600,83676,0.05,1009021,100000,2.8089213757761265e+18
13200,87009,0.05,1051715,100000,3.714686570815522e+18
13800,90316,0.05,1094038,100000,4.884754962976827e+18
14400,93598,0.05,1136070,100000,4.890640012231726e+18
