elapsed_s,episode,eta,epsilon
600,7646,0.09791640534583065,0.9208234031415647
1200,15086,0.09583324064811072,0.8416631446282069
1800,22641,0.0937499860028426,0.7624994681080183
2400,30109,0.09166661781403754,0.6833314769334263
3000,37643,0.08958318416277568,0.6041609981854756
3600,45140,0.08749984640214178,0.5249941632813878
4200,52170,0.08541654009868702,0.4458285237501065
4800,59192,0.08333313026610348,0.3666589501119323
5400,66711,0.0812498430510362,0.2874940359393756
6000,74074,0.07916662844022115,0.2083318807284038
6600,81282,0.07708313203851383,0.1291590174635251
7200,88917,0.07499991040345697,0.05
7800,96434,0.0729164138328698,0.05
8400,103938,0.07083324498186509,0.05
9000,111240,0.0687497186255124,0.05
9600,118580,0.06666648009502227,0.05
10200,126018,0.06458317220045462,0.05
10800,133516,0.06249973486860594,0.05
11400,141421,0.060416401886277726,0.05
12000,149098,0.05833324281788535,0.05
12600,156139,0.05624974331011375,0.05
13200,163882,0.05416658196929428,0.05
13800,171590,0.05208329594383637,0.05
14400,179123,0.05,0.05
