elapsed_s,episode,eta,epsilon
600,15371,0.09791665426641703,0.920832862123847
1200,29416,0.09583331925008033,0.8416661315030523
1800,43209,0.09374998487780492,0.7624994253565868
2400,56619,0.09166661254151001,0.68333127657738
3000,69775,0.08958327784140906,0.6041645579735438
3600,82475,0.08749987208015389,0.5249951390458478
4200,95239,0.08541652148465316,0.4458278164168199
4800,107833,0.08333330648475223,0.36666564642058486
5400,120375,0.08124995340820816,0.28749822951191006
6000,133166,0.0791665691335996,0.20832962707678482
6600,145996,0.0770831943485472,0.12916138524479337
7200,158825,0.07499996712141567,0.05
7800,171318,0.07291649383140936,0.05
8400,183871,0.07083318883346187,0.05
9000,196301,0.06874991714706025,0.05
9600,208835,0.06666664180076784,0.05
10200,221258,0.0645832524481747,0.05
10800,233510,0.06249986066338089,0.05
11400,245848,0.06041649562286006,0.05
12000,258332,0.05833324066632324,0.05
12600,270438,0.0562498557244738,0.05
13200,282663,0.054166632015672,0.05
13800,295006,0.052083191985885305,0.05
14400,307202,0.05,0.05
